Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
0,0,2017-11-09,0,6,0,4,16,1,-1,53,12,94,163,1,357,356,2,5,GORs,45,2017
0,0,2017-11-07,4,4,0,22,12,31,10,23,48,522,121,8,855,865,19,41,IV,45,2017
0,0,2017-11-11,3,1,0,15,12,21,2,31,2,45,102,1,240,242,2,5,JillaniPark,45,2017
0,0,2017-11-09,0,5,0,9,19,7,0,24,10,284,23,0,400,400,8,11,PDLBC,45,2017
0,0,2017-11-11,0,0,0,21,2,15,-1,15,1,116,18,1,203,202,8,6,"Project Gulshan-e-Iqbal Park",45,2017
0,0,2017-11-06,2,12,0,20,23,37,-1,95,27,514,162,12,974,973,11,59,V,45,2017
0,0,2017-11-08,2,1,0,2,31,17,20,26,6,16,246,2,478,498,18,111,VI,45,2017
0,0,2017-11-08,0,4,0,4,7,5,1,12,2,230,24,3,310,311,3,16,VII,45,2017
0,0,2017-11-15,0,0,0,11,25,10,-1,23,0,131,25,0,246,245,13,8,GIP,46,2017
0,0,2017-11-13,0,14,0,21,10,9,5,38,31,464,114,12,788,793,14,61,I,46,2017
0,0,2017-11-15,1,7,0,13,4,18,-1,21,4,140,271,4,525,524,11,31,II,46,2017
0,1,2017-11-17,2,4,0,5,31,25,1,48,13,466,56,2,708,709,16,39,III,46,2017
0,0,2017-11-16,6,7,0,23,13,20,20,26,40,514,148,10,846,866,11,28,IV,46,2017
0,0,2017-11-17,0,2,0,5,15,7,0,34,16,280,26,0,399,399,6,8,PDLBC,46,2017
0,0,2017-11-16,0,0,0,9,2,0,14,15,0,112,25,2,188,202,9,14,"Project Gulshan-e-Iqbal Park",46,2017
0,0,2017-11-14,3,14,0,19,17,35,1,49,42,548,171,22,973,974,5,48,V,46,2017
0,0,2017-11-18,1,1,0,1,22,7,6,7,5,15,121,1,240,246,12,47,VI,46,2017
0,0,2017-11-18,0,5,0,4,9,5,1,15,1,221,28,4,310,311,3,15,VII,46,2017
0,0,2017-11-25,0,6,3,2,16,2,-1,38,65,41,168,2,355,354,2,10,GORs,47,2017
0,0,2017-11-20,0,20,0,48,12,17,60,72,40,940,220,25,1504,1564,26,84,I,47,2017
0,0,2017-11-21,1,2,0,13,3,18,-1,26,5,132,278,5,522,521,7,32,II,47,2017
0,1,2017-11-25,2,5,37,10,34,24,0,31,6,431,50,1,707,707,17,58,III,47,2017
0,0,2017-11-22,4,3,0,11,9,7,1305,20,7,228,99,3,429,1734,2,36,IV,47,2017
0,0,2017-11-23,3,1,0,9,8,2,22,24,1,51,105,3,220,242,4,9,JillaniPark,47,2017
0,0,2017-11-21,0,2,0,5,21,9,0,32,4,281,32,1,400,400,8,5,PDLBC,47,2017
0,0,2017-11-24,0,1,0,11,1,0,15,15,1,109,32,2,187,202,8,7,"Project Gulshan-e-Iqbal Park",47,2017
0,0,2017-11-23,3,15,0,26,20,39,5,57,49,483,184,18,972,977,5,73,V,47,2017
0,0,2017-11-23,0,0,0,1,12,0,123,16,3,46,16,3,124,247,7,20,VI,47,2017
0,0,2017-11-22,0,5,0,10,9,5,1,12,2,214,26,5,309,310,2,19,VII,47,2017
245,0,2017-11-28,0,0,50,2,6,10,190,21,3,107,33,1,494,684,10,6,GIP,48,2017
188,0,2017-11-28,0,1,14,8,0,3,1925,5,11,92,61,3,403,2328,1,16,I,48,2017
218,0,2017-11-29,0,0,0,0,0,0,782,0,0,7,21,0,254,1036,0,8,II,48,2017
1234,0,2017-11-29,0,0,0,0,0,0,134,1,0,22,14,0,1282,1416,2,9,III,48,2017
270,0,2017-11-27,1,4,25,22,13,20,2475,20,0,426,137,4,989,3464,13,34,IV,48,2017
112,0,2017-11-27,3,1,0,15,13,21,324,40,2,71,98,1,405,729,3,25,JillaniPark,48,2017
190,0,2017-11-29,0,0,0,0,0,0,592,0,1,11,3,0,208,800,0,3,PDLBC,48,2017
0,0,2017-11-27,0,1,0,20,1,0,388,19,0,121,31,2,218,606,8,15,"Project Gulshan-e-Iqbal Park",48,2017
848,0,2017-11-29,0,0,2,2,0,0,1028,6,0,29,23,0,928,1956,0,18,V,48,2017
214,0,2017-11-29,0,0,0,0,0,0,218,0,0,5,5,0,228,446,0,4,VI,48,2017
74,0,2017-11-29,0,0,0,0,0,0,524,0,0,1,2,0,82,606,0,5,VII,48,2017
0,0,2017-12-05,0,0,0,4,6,11,-1,26,0,126,35,1,229,228,10,10,GIP,49,2017
0,0,2017-12-08,0,14,44,26,5,9,675,41,22,495,164,14,885,1560,11,40,I,49,2017
0,0,2017-12-06,3,8,40,5,45,30,563,39,17,540,44,3,842,1405,19,49,III,49,2017
0,0,2017-12-05,3,1,64,2,14,23,2,20,2,22,78,1,241,243,3,8,JillaniPark,49,2017
0,0,2017-12-06,0,1,14,2,19,9,0,33,12,275,20,0,401,401,4,12,PDLBC,49,2017
0,0,2017-12-05,0,1,35,11,1,0,14,8,0,92,25,2,188,202,6,7,"Project Gulshan-e-Iqbal Park",49,2017
0,0,2017-12-07,4,16,68,7,23,36,879,147,45,412,202,21,1071,1950,5,85,V,49,2017
